ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AU000000BHP4,BHP Group Limited,,,,,,,21919650.300899997,22962901.609899998,22281527.559899997,27518688.332099997,21355672.739199996,19591969.4733,19799993.85430001,20199994.382900015,21999990.925600007,22670999.89070001,20700003.178700056,11685295.07545003,10430000.080400009,10586999.89740006,9725001.038,9500000.0,9980000.0
AU000000BOQ8,Bank of Queensland Limited,,,,,,,378.18147340385,393.67221156534,483.33193459383995,601.009933462082,651.712302054718,771.1054564656552,942.06037038522,900.797248999804,906.715745639905,1138.830424097758,1153.6050359860783,923.741955105887,951.9743112361383,776.0133623388439,643.0249020057147,459.892,734.061
AU000000BPT9,Beach Energy Limited,,,,,,,23634.347550569273,33142.03443285463,151875.49087028985,119184.41222840281,171269.06843827292,126531.43650064568,102659.9396422015,177645.2354828647,81568.92430000001,52760.50660000001,51835.02600000009,40916.98050000008,18297.081700000035,495740.113600001,576791.0,580030.0,550468.0
AU000000BWP3,BWP Trust,,,,,,,597.940849280559,629.6151371972469,697.620735485262,854.4554554046119,847.25909460007,1142.6694469424099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU000000CBA7,Commonwealth Bank of Australia,,,,,,,11979.241932821353,11537.982004058123,14804.260362451356,10757.09,10981.395000000019,15072.891899999997,12732.2854,11315.134,14437.965100000001,9361.6947,10043.027299999987,9083.168,9693.965,8739.998,7623.807,10840.0,8768.0
AU000000CGF5,Challenger Limited,,,,,,,476.470324587581,1067.2587948786631,1430.2226020742962,1685.7239455013482,1189.0284155283118,932.618462270239,881.3701642628911,998.1570933383451,1041.7180000283993,1172.2518465364399,114.72356615752716,105.99003372938607,0.0,3.5,4.0,2.0,1.0
AU000000COH5,Cochlear Limited,,,,,,,6176.534556691797,7789.075880947362,10869.805072979641,12491.620585499999,12669.55564790016,13767.478939115073,15508.84716584821,16532.821937750352,15657.121240464008,15753.481454109788,16191.207771427808,16791.89863513115,19201.099240688076,728.3586000000023,626.2642999999943,231.0,882.06
AU000000CPU5,Computershare Limited,,,,,,,638.5764856764961,940.7750855622451,1314.873985511507,1320.616352055423,1091.5324472035538,1474.68315788113,1352.902381868686,1583.2193638099652,1717.289129419345,1721.449229758811,1635.32529303657,1585.231108281262,1644.4209882730042,1553.489781379169,1499.4048952672579,1639.1,3583.0
AU000000CQR9,Charter Hall Retail REIT,,,,,,,,1269.578126242684,1587.6198628800971,2526.7140352766605,2420.217345912097,114.167566399223,127.25318704987102,128.60442658417603,113.87988754416301,119.34510188059602,124.56903126176832,112.36637429247229,115.88529227090731,120.09104396180231,97.72262926722328,3433.443,294.0
AU000000CSL8,CSL Limited,,,,,,,60385.48435238878,58312.06287192757,71013.09202556382,55100.0840067,51087.75,51098.2286,52428.646100000005,54993.5689,59365.593100000006,66553.75589999999,75000.91540000003,88731.58,94575.0,101300.09399999911,102505.0,140424.0,103014.174
AU000000CSR5,CSR Limited,,,,,,,591191.5694737763,584668.6391395712,676364.8480882497,862161.03,752466.3199999997,735856.6320999998,394397.6254,370007.3695000026,367112.197700002,313429.0491,351878.6908000012,445151.0,453487.44849999924,442029.8617000015,306981.0,268279.0,280065.0
AU000000DOW2,Downer EDI Limited,,,,,,,65475.27570118934,500630.1734812988,207064.35800639703,136722.84250542003,283942.31675074395,302921.620943996,312370.4855559337,206418.05730025278,214758.8222305576,222014.0151334576,221696.87400000004,222784.11892796482,227177.70697748964,338987.583,356300.0,476873.41,414374.847
AU000000DXS1,Dexus,,,,,,,4806.811156916518,5748.5263451916,6663.8997643600005,5393.581327999999,4852.8946000000005,4936.7863,4770.3574,4449.9193,8848.999791770317,10781.126400000001,15021.02980000006,17043.916600000004,19856.0830000001,18946.1098000001,17595.006399999704,17213.0,16362.0
AU000000ELD6,Elders Limited,,,,,,,91570.89533573698,95898.3874463738,91909.4467899751,109020.3628743799,78829.55677131655,64669.381481091776,68158.27516744751,73277.33949684846,60340.38505411183,49019.45210502788,44687.1889449496,303011.6681180632,282669.97980451776,293447.55761565384,292121.84848218504,223324.517,280904.669
AU000000ERA9,Energy Resources of Australia Ltd,,,,,,,102672.45404337088,57082.88012008332,54985.901614423405,155005.33000000002,119032.11479999997,108885.96399999998,102431.92600000002,128724.99660000001,113844.05080000001,56304.5395840374,46156.72102733915,46128.051734811714,37290.40351622426,37748.74466594682,36359.062321530124,34699.463,14167.855
AU000000FLT9,Flight Centre Travel Group Limited,,,,,,,5748.877145110608,6131.821884936232,7962.073071603202,10983.866862817375,10888.722320422881,13077.68632709015,13319.679821185251,15403.842558527924,16546.60902751577,15497.626721485069,15070.719265608714,14466.420325895275,14841.79218433263,16798.95898679421,16126.549080587389,9236.416,2269.371
AU000000GMG2,Goodman Group,,,,,,,2427.503797997768,5714.9929334659755,9046.692698560879,5885.924110500001,9319.909618440131,7723.742618980514,9756.068131537946,10927.1613,11790.7064,14560.7702,13969.109600000005,17303.948300000004,16887.99880000001,15938.265300000005,15828.59549999998,21482.779,2141.0
AU000000GPT8,The GPT Group,,,,,,,9758.76648402202,13034.746014850618,11822.974790681095,5753.0892,3778.9310000000005,14220.132699999707,8532.604599999999,9697.94643840206,10076.1176,8984.857100000001,13109.548089148737,13286.083200000005,9044.017,10041.095,9732.072,6943.0,7799.0
AU000000GUD2,GUD Holdings Limited,,,,,,,9016.647613717818,10666.830232484355,12920.49556569087,12566.99501314577,10539.302938766195,11793.577369672314,13718.112774645364,19111.954567501376,20385.705955515466,16236.781138921662,15397.872850557518,10893.021765294647,5285.022059141392,3774.3808371801456,3764.093236685225,3529.955,4779.672
AU000000GWA4,GWA Group Limited,,,,,,,13846.47946857735,12725.212393718142,14447.95035089417,14939.672625586672,13904.251902725899,14672.993300000002,15174.9584,11112.9864,10055.0802,10011.874199999998,7056.928199999999,2965.9626000000003,2492.9362,1980.9562,56.95999999999998,51.426,6365.026
AU000000HIL8,Hills Limited,,,,,,,24578.505045978178,27676.404245979113,33794.6410436515,43255.294580494265,34083.71059951701,39270.69482036271,34031.33504741093,39385.44144227084,9361.115483210759,5441.390691515011,5905.588438294541,3494.37833268957,2579.94547321618,8075.53661665347,8228.1267196366,6738.0,6185.015
AU000000HVN7,Harvey Norman Holdings Limited,,,,,,,20206.916748208227,20992.361793228945,4419.9496,4004.8667000000005,3726.9519999999998,4510.168100099617,5041.384300000001,4957.829100000001,5451.0492,5797.149,6744.28586695483,6652.432781189407,7529.010203855629,8833.812120932029,8216.68294615122,25373.775,29507.59
AU000000ILU1,Iluka Resources Limited,,,,,,,1097800.6916037991,1162093.3835200304,1219287.2606755886,954303.2152,848447.483887548,809358.4845648943,803180.617203928,644902.048972757,265279.00947032,126734.02423914878,331166.0986800482,356505.108261377,300404.9129329371,563549.0460125275,556409.9617469318,584323.257,502000.0
AU000000JHX1,James Hardie Industries plc,,,,,,,75250.5905925675,81357.97003107124,78966.33298617465,98329.43590594637,57367.0882919932,61945.20595928926,51412.924959773074,56571.70858584512,59496.545920129116,63683.293215890415,66324.9845577723,65225.303273642414,226737.89940000005,238928.80550000002,314444.113,330836.0,313737.0
