ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
BMG0692U1099,AXIS CAPITAL HDG.,,,,,,34.79,40.07,35.44,33.59,35.77,36.26,32.89,36.11,30.19,40.66,40.01,37.91,40.82,40.16,37.2,43.66,45.46,66.95,65.19
BMG2108M2182,CHINESE ESTATES HDG.,,,,,,,,,41.48,39.36,35.25,37.11,35.55,36.49,36.23,33.46,34.82,52.26,50.72,47.36,46.46,45.82,44.88,48.15
BMG2178K1009,CKI HOLDINGS,,,,,,7.75,8.95,5.66,7.18,2.58,7.01,8.53,9.36,7.13,7.63,9.31,7.79,14.96,15.42,26.06,27.41,39.03,36.04,32.97
BMG2442N1048,COSCO SHIPPING PORTS,,,,,,,,,20.41,26.89,23.21,18.78,15.41,18.04,20.35,35.28,42.45,42.7,46.01,49.63,53.21,48.34,50.71,60.57
BMG3122U1457,ESPRIT HOLDINGS,,,,15.18,16.79,18.69,27.8,20.71,29.42,31.88,42.93,58.64,57.91,50.4,65.9,66.36,62.79,67.65,55.25,58.44,66.4,56.72,61.28,60.96
BMG3223R1088,EVEREST GROUP,,,,,,35.65,30.41,31.82,32.98,33.2,33.86,41.53,39.34,33.02,36.78,41.22,40.0,37.73,40.86,45.1,53.81,56.86,54.31,52.4
BMG4593F1389,HISCOX DI,,,,,,35.97,31.4,17.87,47.25,46.22,45.85,43.56,42.55,47.49,46.22,50.11,53.09,50.46,57.2,55.95,56.56,56.6,58.51,63.38
BMG524401079,KERRY PROPERTIES,,,,,,18.19,27.07,22.04,23.7,24.38,19.2,33.21,45.31,50.47,54.4,56.56,64.14,67.16,69.04,78.24,79.17,79.24,76.0,77.87
BMG6359F1370,NABORS INDUSTRIES,,,,26.99,31.94,30.37,30.1,30.22,29.51,22.93,28.83,30.43,33.87,29.94,31.49,32.85,30.08,32.07,46.81,51.03,58.43,68.75,75.44,66.91
BMG668971101,NWS HOLDINGS,,,,,,,16.6,13.86,13.49,18.42,16.26,17.77,19.76,17.9,18.66,29.64,34.39,35.57,43.74,46.98,44.35,58.36,,56.74
