ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
SG1U68934629,KEPPEL,88.52,67.95,65.39,95.8,171.45,265.31,344.98,618.18,999.57,355.14,731.85,1179.38,1090.63,1424.4,1500.76,1175.58,853.04,785.19,1110.7,910.15,1093.45,906.11,875.0,1312.97
SG1V61937297,SINGAPORE AIRLINES,690.69,615.99,394.39,394.97,446.59,488.34,539.44,856.06,958.34,665.61,1048.58,1201.21,871.2,993.3,955.47,1056.09,976.98,863.49,1050.55,945.11,949.55,649.18,741.98,841.58
SG2B80958517,OUE,128.46,153.82,144.99,143.53,177.43,210.67,294.25,432.25,683.22,561.74,429.98,858.13,549.41,822.06,793.68,664.47,559.59,552.36,646.02,493.01,564.34,483.05,544.58,510.66
SG9999000020,FLEX,1291.23,1600.0,1346.81,459.79,830.88,775.86,586.11,644.49,677.05,143.72,410.39,440.7,317.75,348.63,436.21,627.65,629.33,806.74,1009.97,427.23,708.49,1009.4,1029.05,1204.77
SGXE21576413,GENTING SINGAPORE,29.07,10.2,20.4,12.41,19.92,20.25,45.97,113.77,111.62,73.26,227.0,419.1,285.49,279.61,293.91,203.85,137.11,163.78,263.13,198.06,196.63,190.65,172.35,218.9
TH0001010006,BANGKOK BANK,11.92,4.31,6.06,8.43,20.19,19.81,19.27,23.36,27.55,15.97,28.98,42.07,43.38,58.77,51.35,57.75,43.03,47.01,67.79,70.44,62.41,48.3,45.69,55.29
TH0003010Z04,SIAM CEMENT,29.93,9.74,15.94,41.85,102.67,104.54,106.27,127.66,139.3,64.05,158.14,262.96,239.58,359.23,314.14,361.84,349.33,391.85,435.88,409.06,414.65,414.56,396.02,353.25
TH0016010009,KASIKORNBANK,15.71,6.17,5.77,8.28,22.52,18.55,23.89,24.45,38.06,19.52,39.88,66.96,63.41,105.41,80.35,120.02,73.4,89.13,130.63,106.34,96.36,75.43,86.89,88.92
TH0021010Z06,SIAM CITY CEMENT,16.6,9.48,11.49,17.93,22.08,25.29,34.61,31.28,35.92,19.36,37.71,43.6,48.5,84.58,76.8,86.87,60.84,54.61,63.0,50.8,52.99,38.75,42.41,42.37
TH0023010000,BANK OF AYUDHYA,5.92,1.78,1.75,2.18,5.19,4.5,5.46,7.82,12.09,4.18,10.81,13.96,11.71,18.3,16.36,24.41,15.18,20.98,23.43,23.06,20.12,21.42,22.32,19.14
TH0068010Z07,TMBTHANACHART BANK,5.02,1.6,1.44,1.21,2.01,1.39,1.53,1.38,0.88,0.34,0.75,1.58,1.02,1.26,1.31,1.89,1.46,1.31,2.12,1.58,1.52,0.99,1.25,1.21
TH0083B10Z02,THANACHART CAPITAL,6.34,1.85,3.23,4.66,6.61,5.86,5.77,7.19,8.49,4.25,14.82,27.8,20.54,30.97,25.62,26.36,29.17,37.15,54.49,50.38,66.58,46.74,49.86,58.33
TH0101A10Z01,CHAROEN POKPHAND FOODS,19.29,13.87,21.53,18.47,22.08,20.15,33.69,32.7,32.43,22.6,90.92,229.48,304.13,331.58,300.63,260.8,166.15,278.4,258.06,271.03,336.2,335.98,297.9,286.69
TH0128B10Z09,MINOR INTERNATIONAL,8.47,4.62,6.34,12.05,27.22,23.91,57.38,121.63,202.38,94.4,146.9,172.34,158.27,317.51,316.37,503.05,568.18,568.51,771.66,606.28,705.3,512.05,513.34,555.38
TH0143010Z08,LAND AND HOUSES,15.8,7.41,21.81,46.08,81.87,75.86,64.01,59.24,76.88,39.24,73.33,86.7,83.18,144.99,128.41,151.77,156.09,175.45,221.54,223.49,255.31,225.57,239.48,274.66
