ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
GB00B8C3BL03,SAGE GROUP,,,,38.19,22.04,63.44,30.7,35.79,24.4,39.76,45.04,49.69,48.95,46.27,66.84,48.72,57.21,43.81,47.44,49.1,49.48,48.73,50.86,68.15
GB00BD6K4575,COMPASS GROUP,,,,15.24,14.57,17.75,26.69,28.67,33.32,50.19,76.27,76.09,88.89,80.48,79.0,87.7,85.49,87.12,86.76,85.5,89.44,86.86,82.43,81.87
GB00BDCPN049,COCA COLA EUROPACIFIC PARTNERS,,,,7.93,5.34,8.02,34.62,27.87,73.9,80.41,74.67,72.79,72.24,72.38,70.85,70.03,64.89,85.26,78.73,77.81,77.47,78.22,83.03,85.08
GB00BDR05C01,NATIONAL GRID,,,,58.59,49.11,52.42,53.75,22.99,36.84,54.22,69.3,73.43,72.14,82.22,83.84,77.95,78.18,80.64,74.88,75.5,71.66,73.13,81.91,70.86
GB00BF044593,CLS HOLDINGS,,,,,,36.2,46.52,44.02,29.92,23.15,22.29,39.41,39.29,43.99,51.32,47.67,47.08,46.33,55.98,57.71,55.59,59.83,57.29,52.72
GB00BF5H9P87,GREAT PORTLAND ESTATES,,,,40.59,31.16,54.89,59.13,50.77,40.66,55.09,66.54,61.79,62.28,78.86,77.29,86.45,85.59,93.66,87.15,84.81,82.87,80.53,79.05,87.07
GB00BF8Q6K64,ABRDN,,,,,,33.19,34.67,39.01,80.84,78.47,81.09,63.02,54.78,57.99,57.01,61.84,66.84,71.23,82.96,82.71,84.41,84.82,85.25,89.77
GB00BG11K365,REDROW,,,,,,15.36,23.38,30.66,34.48,42.66,49.75,52.28,50.63,47.43,49.34,47.39,42.89,38.12,47.16,43.89,68.04,69.26,64.92,64.63
GB00BGDT3G23,RIGHTMOVE,,,,,,,,19.09,20.2,16.34,16.85,18.26,16.33,18.38,20.41,23.71,23.79,21.53,27.44,31.6,32.74,45.51,44.06,41.77
GB00BGLP8L22,IMI,,,,,,,34.06,27.64,59.53,80.94,81.58,74.82,71.52,70.72,61.7,50.51,51.2,60.73,64.69,63.76,72.04,68.73,67.56,
GB00BH4HKS39,VODAFONE GROUP,,,,66.15,63.71,53.49,68.26,74.09,87.52,92.16,91.0,89.95,88.76,85.39,88.54,87.04,92.62,84.83,86.29,84.73,85.21,81.95,92.17,87.49
GB00BHJYC057,ICTL.HTLS.GP.,,,,,40.42,46.34,25.1,29.19,35.24,73.01,75.07,68.88,70.95,67.12,78.97,76.45,82.11,79.97,79.44,85.56,87.85,87.79,85.96,76.68
GB00BJ1F4N75,MICRO FOCUS INTL. DEAD - DELIST.01/02/23,,,,,,,32.46,17.62,19.32,28.81,21.19,25.86,22.78,23.19,30.97,56.16,61.1,61.2,55.85,56.0,55.61,54.69,51.74,
GB00BJFFLV09,CRODA INTERNATIONAL,,,,,,28.19,37.07,38.04,45.83,47.83,44.44,42.05,63.94,62.37,70.1,76.5,76.88,77.62,79.23,79.16,77.36,77.62,86.51,83.58
GB00BJQZC279,DAILY MAIL 'A' DEAD - DELIST.10/01/22,,,,17.53,24.96,31.12,23.08,14.27,16.1,15.4,6.87,10.74,10.86,39.01,33.47,36.37,42.96,44.4,46.64,46.94,49.74,53.16,47.46,39.0
