Company,ISIN,GICSSectorName,Country,Region
Barrick Gold Corporation,CA0679011084,Materials,CANADA,AMER
Bausch Health Companies Inc.,CA0717341071,Health Care,CANADA,AMER
BlackBerry Limited,CA09228F1036,Information Technology,CANADA,AMER
Bombardier Inc.,CA0977518616,Industrials,CANADA,AMER
Brookfield Corporation,CA11271J1075,Financials,CANADA,AMER
CAE Inc.,CA1247651088,Industrials,CANADA,AMER
CGI Inc.,CA12532H1047,Information Technology,CANADA,AMER
CI Financial Corp.,CA1254911003,Financials,CANADA,AMER
Cameco Corporation,CA13321L1085,Energy,CANADA,AMER
Canadian Imperial Bank of Commerce,CA1360691010,Financials,CANADA,AMER
Canadian National Railway Company,CA1363751027,Industrials,CANADA,AMER
Canadian Natural Resources Limited,CA1363851017,Energy,CANADA,AMER
"Canadian Tire Corporation, Limited",CA1366812024,Consumer Discretionary,CANADA,AMER
Canadian Utilities Limited,CA1367178326,Utilities,CANADA,AMER
Celestica Inc.,CA15101Q1081,Information Technology,CANADA,AMER
Eldorado Gold Corporation,CA2849025093,Materials,CANADA,AMER
Empire Company Limited,CA2918434077,Consumer Staples,CANADA,AMER
Enbridge Inc.,CA29250N1050,Energy,CANADA,AMER
Enerplus Corporation,CA2927661025,Energy,CANADA,AMER
Ensign Energy Services Inc.,CA2935701078,Consumer Discretionary,CANADA,AMER
Fairfax Financial Holdings Limited,CA3039011026,Financials,CANADA,AMER
Finning International Inc.,CA3180714048,Industrials,CANADA,AMER
First Quantum Minerals Ltd.,CA3359341052,Materials,CANADA,AMER
Fortis Inc.,CA3495531079,Utilities,CANADA,AMER
Gildan Activewear Inc.,CA3759161035,Consumer Discretionary,CANADA,AMER
Great-West Lifeco Inc.,CA39138C1068,Financials,CANADA,AMER
IGM Financial Inc.,CA4495861060,Financials,CANADA,AMER
Imperial Oil Limited,CA4530384086,Energy,CANADA,AMER
Kinross Gold Corporation,CA4969024047,Materials,CANADA,AMER
Loblaw Companies Limited,CA5394811015,Consumer Staples,CANADA,AMER
Magna International Inc.,CA5592224011,Consumer Discretionary,CANADA,AMER
Manulife Financial Corporation,CA56501R1064,Financials,CANADA,AMER
