ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
MYL4162OO003,BRIT.AMER.TOB.(MALAYSIA),2179.05,2629.87,2780.14,2667.46,3268.55,3437.61,3040.74,3500.34,3561.55,3672.29,3569.12,4166.95,4496.42,5789.06,5589.43,5316.19,3729.47,2838.74,2822.13,2492.9,1052.63,999.44,958.16,727.27
MYL4197OO009,SIME DARBY,2950.2,2913.47,2999.15,3036.26,3184.87,3749.27,3926.88,5078.04,21623.58,9031.59,15743.22,17150.33,17440.68,18708.43,17466.04,15938.59,11211.45,12279.65,3713.81,3949.67,3691.28,3906.5,3792.36,3558.64
MYL4324OO009,HENGYUAN REFINING COMPANY,341.05,301.58,300.0,300.0,352.1,765.79,773.91,901.36,1025.09,702.31,921.73,1046.86,868.77,824.07,582.51,402.4,347.27,135.75,1208.3,338.29,309.5,446.74,278.68,239.73
MYL4588OO009,UMW HOLDINGS,501.33,353.05,493.7,532.92,771.97,691.0,791.4,1113.73,2541.95,1625.59,2075.83,2625.8,2579.83,4561.65,4301.52,3662.1,2141.48,1190.16,1501.14,1546.42,1282.39,987.49,832.89,920.31
MYL4677OO000,YTL CORPORATION,2321.44,1907.79,1868.34,1226.24,1676.36,2080.35,2212.79,3079.19,3962.73,3379.22,4049.86,5186.42,4533.43,6653.58,5311.27,4883.44,3947.02,3769.79,3693.45,2666.59,2639.74,2096.31,1534.61,1451.34
MYL4707OO005,NESTLE (MALAYSIA),1012.05,1295.92,1265.06,1234.21,1345.28,1425.51,1507.69,1648.42,1861.38,1829.92,2266.92,3295.99,4157.38,4818.86,4868.26,4594.11,4008.91,4087.78,5979.81,8364.26,8427.19,8097.47,7553.97,7452.86
MYL4715OO008,GENTING MALAYSIA,3131.87,1738.33,1767.05,2686.52,2901.99,2873.26,3235.59,4527.63,6839.89,3854.94,4845.92,6503.18,7157.43,6893.45,7940.35,6912.03,6057.66,6062.44,8260.7,4339.48,4775.97,3971.0,4105.02,3626.16
MYL4863OO006,TELEKOM MALAYSIA,11714.36,9177.96,8418.64,6584.06,7172.48,10325.26,8569.36,9386.22,11652.33,3072.97,3197.09,4072.2,5597.44,7065.94,6061.54,7318.56,5934.26,4984.3,5849.98,2418.9,3516.65,5075.31,4982.07,4684.07
MYL5014OO005,MALAYSIA AIRPORTS HDG.,897.37,492.1,654.21,431.32,489.21,466.05,561.71,673.47,1004.53,702.6,1275.41,2240.3,2012.62,2061.52,3386.35,2672.46,2167.94,2241.34,3603.71,3364.55,3082.71,2441.87,2381.65,2470.88
MYL5347OO009,TENAGA NASIONAL,7999.61,9482.38,8748.13,7779.58,7821.51,9162.28,8469.68,13238.45,12577.46,7829.87,10649.81,11836.47,10156.16,12577.16,19607.46,22274.27,17508.49,17513.82,21364.62,18715.46,18434.91,14777.51,12837.63,12577.03
